;variable;relative_importance;scaled_importance;percentage
0;vesselDetails_name;2025.0821533203125;1.0;0.9983604118692049
1;vesselDetails_length;1.5880829095840454;0.0007842066589645434;0.0007829208830344147
2;vesselDetails_width;0.8002572059631348;0.0003951727117100103;0.0003945247912222765
3;vesselDetails_draught;0.7279778718948364;0.0003594806614147719;0.0003588912611890659
4;vesselDetails_typeName;0.2093510627746582;0.00010337904683590613;0.00010320954777774106
5;vesselDetails_flagCode;8.447754225926474e-05;4.17156124361453e-08;4.164721601312615e-08
6;vesselDetails_flagCountry;7.211052310829302e-10;3.5608690240077937e-13;3.555030665420715e-13
7;vesselDetails_typeCode;1.2564042417128468e-13;6.204213689073572e-17;6.194041333948051e-17
