;variable;relative_importance;scaled_importance;percentage
0;vesselDetails_draught;71857717248.0;1.0;0.36330849134270743
1;vesselDetails_length;32464515072.0;0.45178884489130605;0.16413872364292487
2;vesselDetails_width;31600994304.0;0.43977175332381635;0.159772812235213
3;vesselDetails_typeName;24098936832.0;0.33537019759239206;0.12184284052859766
4;vessel_length_by_width;13840160768.0;0.19260507149474207;0.06997505794970904
5;draught_level;12576708608.0;0.1750223788016317;0.06358711639363267
6;vesselDetails_typeCode;7964182016.0;0.11083266100025833;0.040266446859501585
7;vesselDetails_flagCountry;3383842048.0;0.047090864803309374;0.01710851104771373
