;variable;relative_importance;scaled_importance;percentage
0;vesselDetails_draught;173329629184.0;1.0;0.43966771910432517
1;vesselDetails_typeName;68310638592.0;0.3941082601606681;0.1732766798250149
2;vesselDetails_length;58270863360.0;0.3361852421558112;0.14780979861518073
3;vesselDetails_width;39594528768.0;0.22843485533548327;0.10043543180927841
4;vessel_length_by_width;32856502272.0;0.18956079480860605;0.08334376228510282
5;draught_level;10372642816.0;0.059843448952335815;0.026311232704209604
6;vesselDetails_flagCountry;9381496832.0;0.05412517684464072;0.023797093049401422
7;vesselDetails_typeCode;2112388736.0;0.01218711853215569;0.005358282607486943
